000068,华控赛格,深圳华控赛格股份有限公司,"SHENZHEN HUAKONG SEG CO.,LTD."
000069,华侨城Ａ,深圳华侨城股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD"
000070,特发信息,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD"
000078,海王生物,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING  CO.,LTD"
000088,盐 田 港,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD"
000089,深圳机场,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD"
000090,天健集团,深圳市天健(集团)股份有限公司,"SHENZHEN TAGEN GROUP CO., LTD."
000096,广聚能源,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD"
000099,中信海直,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD"
000100,TCL 集团,TCL集团股份有限公司,TCL CORPORATION
000150,宜华健康,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE Co., Ltd."
000151,中成股份,中成进出口股份有限公司,CHINA NATIONAL COMPLETE PLANT IMPORT  &  EXPORT CORPORATION LIMITED
000152,山  航Ｂ,山东航空股份有限公司,"SHANDONG AIRLINES CO.,LTD"
000153,丰原药业,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD"
000155,*ST川化,川化股份有限公司,SICHUAN  CHEMICAL  COMPANY  LIMITED
000156,华数传媒,华数传媒控股股份有限公司,"Wasu Media Holding Co.,Ltd"
000157,中联重科,中联重科股份有限公司,"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD"
000158,常山股份,石家庄常山纺织股份有限公司,"SHIJIAZHUANG CHANGSHAN TEXTILE CO.,LTD"
000159,国际实业,新疆国际实业股份有限公司,"XINJIANG INTERNATIONAL INDUSTRY CO.,LTD"
000160,南江B,承德南江股份有限公司,"CHENGDE NANJIANG CO., LTD."
000166,申万宏源,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co.,Ltd"
000168,舜喆B,广东舜喆（集团）股份有限公司,GUANGDONG JADIETE HOLDINGS GROUP COMPANY LIMITED
000301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,"Jiangsu Wujiang China Eastern Silk Market Co.,Ltd."
000333,美的集团,美的集团股份有限公司,"Midea Group Co., Ltd."
000338,潍柴动力,潍柴动力股份有限公司,"Weichai Power Co., Ltd."
000400,许继电气,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD"
000401,冀东水泥,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD"
000402,金 融 街,金融街控股股份有限公司,"FINANCIAL STREET HOLDINGS CO., LTD."
000403,ST生化,振兴生化股份有限公司,Zhenxing Biopharmaceutical & Chemical Inc
000404,华意压缩,华意压缩机股份有限公司,"HUAYI COMPRESSOR CO., LTD"
000407,胜利股份,山东胜利股份有限公司,"SHANDONG SHENGLI CO., LTD."
000408,*ST金源,金谷源控股股份有限公司,"JINGUYUAN HOLDING CO.,LTD"
000409,山东地矿,山东地矿股份有限公司,"SHANDONG GEO-MINERAL CO., LTD"
000410,沈阳机床,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD"
000411,英特集团,浙江英特集团股份有限公司,"ZHEJIANG INT’L GROUP CO.,LTD."
000413,东旭光电,东旭光电科技股份有限公司,"Dongxu Optoelectronic Technology Co., Ltd."
000415,渤海金控,渤海金控投资股份有限公司,"Bohai Capital Holding Co.,Ltd"
000416,民生控股,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd"
000417,合肥百货,合肥百货大楼集团股份有限公司,"HEFEI DEPARTMENT STORE GROUP CO.,LTD"
000418,小天鹅Ａ,无锡小天鹅股份有限公司,"WUXI LITTLE SWAN CO.,LTD"
000419,通程控股,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD"
000420,吉林化纤,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO ., LTD"
000421,南京公用,南京公用发展股份有限公司,"NanJing Public Utilities Development Co., Ltd."
000422,湖北宜化,湖北宜化化工股份有限公司,"HUBEI YIHUA CHEMICAL INDUSTRY CO., LTD"
000423,东阿阿胶,东阿阿胶股份有限公司,"Dong-E-E-Jiao Co., Ltd."
000425,徐工机械,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd."
000426,兴业矿业,内蒙古兴业矿业股份有限公司,"INNER MONGOLIA XINGYE MINING CO.,LTD"
000428,华天酒店,华天酒店集团股份有限公司,"HUATIAN HOTEL GROUP  CO.,LTD."
000429,粤高速Ａ,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD"
000430,张家界,张家界旅游集团股份有限公司,"ZHANG JIA JIE TOURISM GROUP CO.,LTD"
000468,*ST宁通B,南京普天通信股份有限公司,"NANJING PUTIAN TELECOMMUNICATIONS CO., LTD"
000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD"
000498,山东路桥,山东高速路桥集团股份有限公司,"SHANDONG HI-SPEED ROAD&BRIDGE CO.,LTD."
000501,鄂武商Ａ,武汉武商集团股份有限公司,WUHAN DEPARTMENT STORE GROUP CO.LTD
000502,绿景控股,绿景控股股份有限公司,"LVJING HOLDING CO.,LTD"
000503,海虹控股,海虹企业(控股)股份有限公司,SEARAINBOW HOLDING CORP
000504,*ST生物,南华生物医药股份有限公司,"NanHua Bio-medicine CO.,Ltd．"
000505,*ST珠江,海南珠江控股股份有限公司,"HaiNan Pearl River Holdings Co., Ltd."
000506,中润资源,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation
000507,珠海港,珠海港股份有限公司,"ZHUHAI  PORT  CO., LTD"
